"Country or Area","Year","Item","Value"
"Kyrgyzstan","2023","Gross National Income (GNI)","13664437033.2501"
"Lao People's Democratic Republic","2023","Gross National Income (GNI)","14199405834.7469"
"Latvia","2023","Gross National Income (GNI)","41245825452.2301"
"Lebanon","2023","Gross National Income (GNI)","26034232433.1638"
"Lesotho","2023","Gross National Income (GNI)","2576298997.51627"
"Liberia","2023","Gross National Income (GNI)","3391789955"
"Libya","2023","Gross National Income (GNI)","44091243588.0779"
"Liechtenstein","2023","Gross National Income (GNI)","7830957054.61385"
"Lithuania","2023","Gross National Income (GNI)","76889607772.1712"
"Luxembourg","2023","Gross National Income (GNI)","55813004025.6441"
"Madagascar","2023","Gross National Income (GNI)","15544590470.2586"
"Malawi","2023","Gross National Income (GNI)","12305557481.2885"
"Malaysia","2023","Gross National Income (GNI)","387578151583.178"
"Maldives","2023","Gross National Income (GNI)","5769276470.96838"
"Mali","2023","Gross National Income (GNI)","19708568846.1319"
"Malta","2023","Gross National Income (GNI)","19209739806.5211"
"Marshall Islands","2023","Gross National Income (GNI)","308715287"
"Mauritania","2023","Gross National Income (GNI)","10642235409.4138"
"Mauritius","2023","Gross National Income (GNI)","14973592925.1241"
"Mexico","2023","Gross National Income (GNI)","1749502192066.26"
"Micronesia (Federated States of)","2023","Gross National Income (GNI)","504260485"
"Monaco","2023","Gross National Income (GNI)","9995355319.01978"
"Mongolia","2023","Gross National Income (GNI)","17100031978.4366"
"Montenegro","2023","Gross National Income (GNI)","7603498686.44032"
"Montserrat","2023","Gross National Income (GNI)","97825434.8148148"
"Morocco","2023","Gross National Income (GNI)","142374231048.712"
"Mozambique","2023","Gross National Income (GNI)","19969582378.7016"
"Myanmar","2023","Gross National Income (GNI)","60980653354.3902"
"Namibia","2023","Gross National Income (GNI)","11781635021.208"
"Nauru","2023","Gross National Income (GNI)","253011247.344142"
"Nepal","2023","Gross National Income (GNI)","40955804841.9536"
"Netherlands","2023","Gross National Income (GNI)","1144728283196.1"
"New Caledonia","2023","Gross National Income (GNI)","10139988153.0281"
"New Zealand","2023","Gross National Income (GNI)","245286281422.636"
"Nicaragua","2023","Gross National Income (GNI)","16935290230.2515"
"Niger","2023","Gross National Income (GNI)","16182366023.8828"
"Nigeria","2023","Gross National Income (GNI)","344074086009.957"
"Norway","2023","Gross National Income (GNI)","487868908050.806"
"Oman","2023","Gross National Income (GNI)","100679063719.116"
"Pakistan","2023","Gross National Income (GNI)","318102217914.143"
"Palau","2023","Gross National Income (GNI)","293832364"
"Panama","2023","Gross National Income (GNI)","78081464059"
"Papua New Guinea","2023","Gross National Income (GNI)","29188582566.1885"
"Paraguay","2023","Gross National Income (GNI)","41563052588.6739"
"Peru","2023","Gross National Income (GNI)","249449630248.552"
"Philippines","2023","Gross National Income (GNI)","485154570925.897"
"Poland","2023","Gross National Income (GNI)","768963132105.621"
"Portugal","2023","Gross National Income (GNI)","281752856063.905"
"Puerto Rico","2023","Gross National Income (GNI)","81550700000"
"Qatar","2023","Gross National Income (GNI)","206928846153.846"
"Republic of Korea","2023","Gross National Income (GNI)","1871324404277.52"
"Republic of Moldova","2023","Gross National Income (GNI)","17069429550.6313"
"Republic of North Macedonia","2023","Gross National Income (GNI)","14899473524.6909"
"Romania","2023","Gross National Income (GNI)","341631272912.636"
"Russian Federation","2023","Gross National Income (GNI)","1958658945450.71"
"Rwanda","2023","Gross National Income (GNI)","13817789882.4059"
"Saint Kitts and Nevis","2023","Gross National Income (GNI)","1030590248.88889"
"Saint Lucia","2023","Gross National Income (GNI)","2222439172.59259"
"Saint Vincent and the Grenadines","2023","Gross National Income (GNI)","1082376030.37037"
"Samoa","2023","Gross National Income (GNI)","1023892241.75689"
"San Marino","2023","Gross National Income (GNI)","1762524365.51853"
"Sao Tome and Principe","2023","Gross National Income (GNI)","692277469.249282"
"Saudi Arabia","2023","Gross National Income (GNI)","1078062435007.2"
"Senegal","2023","Gross National Income (GNI)","30061928916.1407"
"Serbia","2023","Gross National Income (GNI)","71464949167.8733"
"Seychelles","2023","Gross National Income (GNI)","2124430343.84737"
"Sierra Leone","2023","Gross National Income (GNI)","6352544923.30017"
"Singapore","2023","Gross National Income (GNI)","420675173149.963"
"Sint Maarten (Dutch part)","2023","Gross National Income (GNI)","1633750850.83799"
"Slovakia","2023","Gross National Income (GNI)","129363521385.089"
"Slovenia","2023","Gross National Income (GNI)","67968983416.913"
"Solomon Islands","2023","Gross National Income (GNI)","1658482599.30411"
"Somalia","2023","Gross National Income (GNI)","10927677717.4703"
"South Africa","2023","Gross National Income (GNI)","372625691751.627"
"South Sudan","2023","Gross National Income (GNI)","4477286641.52829"
"Spain","2023","Gross National Income (GNI)","1595491492760.09"
"Sri Lanka","2023","Gross National Income (GNI)","81630050942.4953"
"State of Palestine","2023","Gross National Income (GNI)","21505838827"
"Sudan","2023","Gross National Income (GNI)","33741155280.2473"
"Suriname","2023","Gross National Income (GNI)","3452591294.59505"
"Sweden","2023","Gross National Income (GNI)","606603219320.577"
"Switzerland","2023","Gross National Income (GNI)","867093239488.475"
"Syrian Arab Republic","2023","Gross National Income (GNI)","27931975308.3755"
"Tajikistan","2023","Gross National Income (GNI)","15995861915.5749"
"Thailand","2023","Gross National Income (GNI)","500135086091.35"
"Timor-Leste","2023","Gross National Income (GNI)","2435124177"
"Togo","2023","Gross National Income (GNI)","9221850626.62445"
"Tonga","2023","Gross National Income (GNI)","553782059.701478"
"Trinidad and Tobago","2023","Gross National Income (GNI)","24541897360.8956"
"Tunisia","2023","Gross National Income (GNI)","47230835039.9742"
"Türkiye","2023","Gross National Income (GNI)","1106936351778.91"
"Turkmenistan","2023","Gross National Income (GNI)","59381872960"
"Turks and Caicos Islands","2023","Gross National Income (GNI)","1342454391"
"Tuvalu","2023","Gross National Income (GNI)","91321900.01722"
"Uganda","2023","Gross National Income (GNI)","50015308903.7667"
"Ukraine","2023","Gross National Income (GNI)","188291295134.668"
"United Arab Emirates","2023","Gross National Income (GNI)","517969779147.175"
"United Kingdom of Great Britain and Northern Ireland","2023","Gross National Income (GNI)","3358114787719.11"
"United Republic of Tanzania: Mainland","2023","Gross National Income (GNI)","76858876362.3194"
"United Republic of Tanzania: Zanzibar","2023","Gross National Income (GNI)","2436147926.04765"
"United States","2023","Gross National Income (GNI)","27576136000000"
"Uruguay","2023","Gross National Income (GNI)","70093431718.4295"
"Uzbekistan","2023","Gross National Income (GNI)","91359485182.3887"
"Vanuatu","2023","Gross National Income (GNI)","1272519563.18606"
"Venezuela (Bolivarian Republic of)","2023","Gross National Income (GNI)","119257290205.494"
"Viet Nam","2023","Gross National Income (GNI)","408861256838.423"
"Yemen","2023","Gross National Income (GNI)","8754025332.32639"
"Zambia","2023","Gross National Income (GNI)","25564873734.0679"
"Zimbabwe","2023","Gross National Income (GNI)","29992989210"

